"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",0,"warmup",60,5,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",1,"warmup",100,4,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",2,"warmup",140,3,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",3,"normal",180,1,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",4,"normal",190,1,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",5,"normal",140,4,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Deadlift (Barbell)",,"",6,"normal",140,3,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Pull Up",,"",0,"normal",,5,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Pull Up",,"",1,"normal",,6,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Pull Up",,"",2,"normal",,3,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Cable Crunch",,"",0,"normal",42,13,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Cable Crunch",,"",1,"normal",47,8,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Cable Crunch",,"",2,"normal",47,8,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Seated Cable Row - Bar Grip",,"",0,"normal",80,12,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Seated Cable Row - Bar Grip",,"",1,"normal",100,8,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Seated Cable Row - Bar Grip",,"",2,"normal",100,9,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Seated Incline Curl (Dumbbell)",,"",0,"normal",15,15,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Seated Incline Curl (Dumbbell)",,"",1,"normal",15,8,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Back Extension (Weighted Hyperextension)",,"",0,"normal",10,8,,,
"Evening workout 🏋️","19 Jun 2026, 19:56","19 Jun 2026, 20:50","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,8,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",0,"warmup",40,5,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",1,"warmup",60,5,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",2,"warmup",80,5,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",3,"normal",100,2,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",4,"normal",110,2,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",5,"normal",115,1,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",6,"normal",85,10,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Bench Press (Barbell)",,"",7,"normal",85,11,,,
"Afternoon workout 💪","17 Jun 2026, 14:53","17 Jun 2026, 15:32","","Chest Dip",0,"",0,"normal",,8,,,
